prediction,actual,position,title,semantic_sim,semantic_diff,nli_label
"The hare challenges a tortoise to a race, confident that he will easily win.",He mocks the tortoise's sluggishness while bragging to the other animals about his own quickness.,0.05341,Dark_Is_the_New_Light,0.4713,0.5287,NEUTRAL
"The tortoise, unfazed by the boastful hare, challenges him to a race, confident in his steady determination.","Confident in his speed, he challenges the tortoise to a race.",0.11276,Dark_Is_the_New_Light,0.8516,0.1484,CONTRADICTION
"The tortoise calmly replies, “Then let’s race and find out.”","The tortoise challenges the overconfident hare to a race, prompting the hare to laugh at the idea while accepting the challenge for his amusement.",0.15134,Dark_Is_the_New_Light,0.6041,0.3959,NEUTRAL
"The race begins with the hare sprinting ahead, confident in his speed, while the tortoise moves steadily but deliberately at his own pace.",The animals congregate the following morning in anticipation of an event.,0.273,Dark_Is_the_New_Light,0.2586,0.7414,NEUTRAL
"The wise old owl begins to speak, announcing the start of the annual animal council meeting.",The fox establishes both the beginning and end of a race.,0.2997,Dark_Is_the_New_Light,0.2831,0.7169,CONTRADICTION
"The other animals gather around, excitement buzzing in the air as they prepare for the race to begin.","The hare dashes ahead at the start of the race, easily outpacing the slow-moving tortoise.",0.32641,Dark_Is_the_New_Light,0.4284,0.5716,NEUTRAL
"The hare, confident in its lead, decides to take a nap, thinking it has plenty of time to win.",The hare glances back during the race and realizes the tortoise is nowhere in sight.,0.37685,Dark_Is_the_New_Light,0.3961,0.6039,NEUTRAL
"The hare, confident in his lead, decides to lie down for a quick nap, believing there is no way the tortoise could catch up.",He chuckles and chooses to take his time.,0.43323,Dark_Is_the_New_Light,0.2296,0.7704,CONTRADICTION
"He leans back in his chair, savoring the moment as he slowly sips his drink.","Feeling sure of his success, he settles down on a soft patch of grass beneath a tree for a nap.",0.46291,Dark_Is_the_New_Light,0.4118,0.5882,CONTRADICTION
"As he drifts off to sleep, a sudden rustling in the bushes stirs him, signaling an unexpected danger approaching.",The tortoise continues to move forward steadily and unbothered.,0.52226,Dark_Is_the_New_Light,0.1095,0.8905,CONTRADICTION
The tortoise unexpectedly crosses paths with a wise old owl who offers guidance on its journey.,"He perseveres forward slowly and steadily, refusing to pause for rest as hours slip by.",0.53709,Dark_Is_the_New_Light,0.1934,0.8066,NEUTRAL
"Finally, he reaches the summit, looking out over the vast landscape that stretches endlessly before him.","The tortoise steadily progresses under the bright sun, advancing with purposeful steps.",0.57864,Dark_Is_the_New_Light,0.3252,0.6748,NEUTRAL
The tortoise reaches the finish line just as the first rays of sunset begin to fade.,The hare wakes up to find the sun setting in the sky.,0.63205,Dark_Is_the_New_Light,0.3749,0.6251,CONTRADICTION
"The hare bolts upright in panic, realizing it has missed an important meeting with the other animals at the forest clearing.","He yawns and stretches before resuming his run, confident that the tortoise lags far behind.",0.67062,Dark_Is_the_New_Light,0.3784,0.6216,CONTRADICTION
"To his surprise, he glances back and finds the tortoise steadily gaining ground, unyielding in its slow yet continuous progress.",The unexpected sight of the tortoise just steps from the finish line catches him off guard.,0.7181,Dark_Is_the_New_Light,0.6805,0.3195,NEUTRAL
"The hare realizes his mistake and sprints towards the finish line, desperate to catch up.",The hare races desperately but realizes he has already missed his chance.,0.76261,Dark_Is_the_New_Light,0.7985,0.2015,NEUTRAL
"The tortoise crosses the finish line, winning the race and proving that slow and steady can indeed win.","The tortoise triumphantly reaches the finish line, celebrated by the cheers of the other animals.",0.80119,Dark_Is_the_New_Light,0.7329,0.2671,NEUTRAL
"The hare, once prideful, approaches the tortoise and humbly congratulates him on the victory.","The hare, shamed by his loss, learns to respect the tortoise's steady determination.",0.84273,Dark_Is_the_New_Light,0.5964,0.4036,CONTRADICTION
"The hare vows to train harder and becomes the tortoise's devoted friend, learning the value of perseverance.",The animals learn that overconfidence and laziness can lead to defeat by those who are patient and persistent.,0.92878,Dark_Is_the_New_Light,0.5785,0.4215,NEUTRAL
