prediction,actual,position,title,semantic_sim,semantic_diff,nli_label
"As the doorbell jingles, the first customers walk in, and he hurriedly balances a bowl of kibble while guiding a curious puppy away from a stack of merchandise.",He hurriedly feeds the animals at Valparaiso Pet Needs before the store opens for customers.,0.01805,Dark_Is_the_New_Light,0.5947,0.4053,NEUTRAL
"A bowl of kibble is placed on the floor, and the puppies rush forward, eagerly devouring their meal.",The puppies eagerly bark as they await their meal.,0.02357,Dark_Is_the_New_Light,0.7206,0.2794,NEUTRAL
"He pours the dog food into the massive storage container, a satisfied grin spreading across his face as he prepares for the upcoming storm.",He finishes sealing the snake casings and then retrieves a large bag of dog food from the backroom.,0.0331,Dark_Is_the_New_Light,0.6798,0.3202,NEUTRAL
"The small pet store owner decides to expand their inventory by sourcing unique, local products.",The local pet store lacks the wide selection offered by larger chain retailers.,0.04112,Dark_Is_the_New_Light,0.5673,0.4327,NEUTRAL
"As new businesses emerge in the area, they scramble to adapt or risk losing everything they've built.",They flourish in a time without competition.,0.04614,Dark_Is_the_New_Light,0.1538,0.8462,CONTRADICTION
"The group exchanges relieved glances, knowing that their close call only strengthens their resolve to continue forward.","Despite the abundance of cats and dogs at shelters, only the rare breeds attract buyers.",0.04915,Dark_Is_the_New_Light,-0.034,1.034,NEUTRAL
A sudden influx of rare breed puppies and kittens from a breeder attracts a crowd of eager buyers at the shelter.,Alberto calls out to Jorge to inform him that the delivery truck has arrived.,0.05918,Dark_Is_the_New_Light,0.109,0.891,NEUTRAL
Jorge rushes outside to greet the delivery driver and collect the eagerly awaited packages.,The delivery driver arrives with a cart carrying a cage for transporting exotic animals.,0.06419,Dark_Is_the_New_Light,0.5061,0.4939,NEUTRAL
"Curiosity overcomes him, and Jorge approaches the animal to get a closer look.",Jorge notices an unfamiliar and strange animal sitting nearby.,0.08024,Dark_Is_the_New_Light,0.7401,0.2599,NEUTRAL
"As Alberto eagerly peers into the cage, the exotic animal suddenly lunges forward, startling him and prompting his father to rush over in alarm.","His dad sets a cage on the counter next to the cash register, prompting a question from him.",0.08927,Dark_Is_the_New_Light,0.4973,0.5027,CONTRADICTION
"The small, furry creature inside the cage suddenly squeaks, capturing the boy's full attention.","He opens the lid and lifts a small, kitten-sized animal from inside.",0.09729,Dark_Is_the_New_Light,0.5172,0.4828,NEUTRAL
"The creature wriggles in his hands, its fur shimmering with an otherworldly glow as it lets out a soft, melodious chirp.",The object has reddish hair with streaks of gray.,0.10582,Dark_Is_the_New_Light,0.3422,0.6578,NEUTRAL
"Curious, the young girl reaches out her hand to pet the strange creature, which nuzzles against her palm.",The creature resembles a hybrid of a kitten and a rabbit.,0.11685,Dark_Is_the_New_Light,0.3491,0.6509,NEUTRAL
"The animal leans into Jorge's hand, signaling its trust and inviting him to come closer.",Jorge gently strokes the calm animal.,0.12187,Dark_Is_the_New_Light,0.7455,0.2545,NEUTRAL
The scientist eagerly reaches for his notebook to document the cachildrun's unique characteristics.,He marvels at the unfamiliar creature known as a cachildrun.,0.12889,Dark_Is_the_New_Light,0.4953,0.5047,NEUTRAL
