filename	title	mode	text	position	sentence_index	recap_length	passage_length
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	summary	A proud hare boasts about his incredible speed.	0.05341	1	0	18
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	prediction	The hare challenges a tortoise to a race, confident that he will easily win.	0.05341	1	0	18
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	summary	He mocks the tortoise's sluggishness while bragging to the other animals about his own quickness.	0.11276	2	8	20
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	prediction	The tortoise, unfazed by the boastful hare, challenges him to a race, confident in his steady determination.	0.11276	2	8	20
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	summary	Confident in his speed, he challenges the tortoise to a race.	0.15134	3	23	13
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	prediction	The tortoise calmly replies, “Then let’s race and find out.”	0.15134	3	23	13
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	summary	The tortoise challenges the overconfident hare to a race, prompting the hare to laugh at the idea while accepting the challenge for his amusement.	0.273	4	34	41
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	prediction	The race begins with the hare sprinting ahead, confident in his speed, while the tortoise moves steadily but deliberately at his own pace.	0.273	4	34	41
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	summary	The animals congregate the following morning in anticipation of an event.	0.2997	5	58	9
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	prediction	The wise old owl begins to speak, announcing the start of the annual animal council meeting.	0.2997	5	58	9
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	summary	The fox establishes both the beginning and end of a race.	0.32641	6	69	9
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	prediction	The other animals gather around, excitement buzzing in the air as they prepare for the race to begin.	0.32641	6	69	9
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	summary	The hare dashes ahead at the start of the race, easily outpacing the slow-moving tortoise.	0.37685	7	80	17
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	prediction	The hare, confident in its lead, decides to take a nap, thinking it has plenty of time to win.	0.37685	7	80	17
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	summary	The hare glances back during the race and realizes the tortoise is nowhere in sight.	0.43323	8	95	19
/home/juyal/QuantifyingNarrativeSurprise/StoryScraper/stories/BaselineStory.txt	Dark_Is_the_New_Light	prediction	The hare, confident in his lead, decides to lie down for a quick nap, believing there is no way the tortoise could catch up.	0.43323	8	95	19
